ID,absolute_clone_path,local_clone_path,source
jsk-ros-pkg/openrave_planning,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____openrave_planning,./cloned_repos/jsk-ros-pkg_____openrave_planning,github
kalakris/stomp,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/kalakris_____stomp,./cloned_repos/kalakris_____stomp,github
Kinovarobotics/kinova-ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Kinovarobotics_____kinova-ros,./cloned_repos/Kinovarobotics_____kinova-ros,github
knowrob/knowrob,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/knowrob_____knowrob,./cloned_repos/knowrob_____knowrob,github
kucars/haptic_teleoperation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/kucars_____haptic_teleoperation,./cloned_repos/kucars_____haptic_teleoperation,github
kuka-isir/cart_opt_ctrl,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/kuka-isir_____cart_opt_ctrl,./cloned_repos/kuka-isir_____cart_opt_ctrl,github
laas/hueblob,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/laas_____hueblob,./cloned_repos/laas_____hueblob,github
laboshinl/loam_velodyne,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/laboshinl_____loam_velodyne,./cloned_repos/laboshinl_____loam_velodyne,github
leonard-lab/dcslROS,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/leonard-lab_____dcslROS,./cloned_repos/leonard-lab_____dcslROS,github
lfermin77/Incremental_DuDe_ROS,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/lfermin77_____Incremental_DuDe_ROS,./cloned_repos/lfermin77_____Incremental_DuDe_ROS,github
LGD-Fr/hand_control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/LGD-Fr_____hand_control,./cloned_repos/LGD-Fr_____hand_control,github
linorobot/linorobot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/linorobot_____linorobot,./cloned_repos/linorobot_____linorobot,github
lucasw/imgui_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/lucasw_____imgui_ros,./cloned_repos/lucasw_____imgui_ros,github
MalcolmMielle/Auto-Complete-Graph,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/MalcolmMielle_____Auto-Complete-Graph,./cloned_repos/MalcolmMielle_____Auto-Complete-Graph,github
markusk/minibot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/markusk_____minibot,./cloned_repos/markusk_____minibot,github
mavlink/mavros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/mavlink_____mavros,./cloned_repos/mavlink_____mavros,github
mdalal2020/sawyer_control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/mdalal2020_____sawyer_control,./cloned_repos/mdalal2020_____sawyer_control,github
muralivnv/asl_gremlin_pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/muralivnv_____asl_gremlin_pkg,./cloned_repos/muralivnv_____asl_gremlin_pkg,github
Nishida-Lab/forest_robot_project,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Nishida-Lab_____forest_robot_project,./cloned_repos/Nishida-Lab_____forest_robot_project,github
Nsteel/Apollo_13,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Nsteel_____Apollo_13,./cloned_repos/Nsteel_____Apollo_13,github
olin-robotic-sailing/oars-roboboat,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/olin-robotic-sailing_____oars-roboboat,./cloned_repos/olin-robotic-sailing_____oars-roboboat,github
omwdunkley/crazyflieROS,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/omwdunkley_____crazyflieROS,./cloned_repos/omwdunkley_____crazyflieROS,github
opencog/ghost_bridge,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/opencog_____ghost_bridge,./cloned_repos/opencog_____ghost_bridge,github
OrebroUniversity/yumi,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/OrebroUniversity_____yumi,./cloned_repos/OrebroUniversity_____yumi,github
OSUrobotics/ros-3d-interaction,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/OSUrobotics_____ros-3d-interaction,./cloned_repos/OSUrobotics_____ros-3d-interaction,github
OUXT-Polaris/robotx_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/OUXT-Polaris_____robotx_core,./cloned_repos/OUXT-Polaris_____robotx_core,github
OUXT-Polaris/robotx_packages,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/OUXT-Polaris_____robotx_packages,./cloned_repos/OUXT-Polaris_____robotx_packages,github
pal-robotics/perception_blort,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/pal-robotics_____perception_blort,./cloned_repos/pal-robotics_____perception_blort,github
pal-robotics/reemc_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/pal-robotics_____reemc_robot,./cloned_repos/pal-robotics_____reemc_robot,github
pandora-auth-ros-pkg/pandora_ros_pkgs,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/pandora-auth-ros-pkg_____pandora_ros_pkgs,./cloned_repos/pandora-auth-ros-pkg_____pandora_ros_pkgs,github
Pankaj-Baranwal/pocketsphinx,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Pankaj-Baranwal_____pocketsphinx,./cloned_repos/Pankaj-Baranwal_____pocketsphinx,github
pantor/ros-control-center,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/pantor_____ros-control-center,./cloned_repos/pantor_____ros-control-center,github
pbouffard/ccny-ros-pkg-pbouffard,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/pbouffard_____ccny-ros-pkg-pbouffard,./cloned_repos/pbouffard_____ccny-ros-pkg-pbouffard,github
PDuckworth/activity_analysis,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PDuckworth_____activity_analysis,./cloned_repos/PDuckworth_____activity_analysis,github
PilzDE/pilz_industrial_motion,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PilzDE_____pilz_industrial_motion,./cloned_repos/PilzDE_____pilz_industrial_motion,github
PilzDE/pilz_robots,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PilzDE_____pilz_robots,./cloned_repos/PilzDE_____pilz_robots,github
PINTO0309/zumo32u4,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PINTO0309_____zumo32u4,./cloned_repos/PINTO0309_____zumo32u4,github
Pitt-RAS/iarc7_vision,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Pitt-RAS_____iarc7_vision,./cloned_repos/Pitt-RAS_____iarc7_vision,github
PR2/pr2_apps,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_apps,./cloned_repos/PR2_____pr2_apps,github
PR2/pr2_common_actions,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_common_actions,./cloned_repos/PR2_____pr2_common_actions,github
PR2/pr2_controllers,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_controllers,./cloned_repos/PR2_____pr2_controllers,github
PR2/pr2_mechanism,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_mechanism,./cloned_repos/PR2_____pr2_mechanism,github
PR2/pr2_navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_navigation,./cloned_repos/PR2_____pr2_navigation,github
PR2/pr2_plugs,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_plugs,./cloned_repos/PR2_____pr2_plugs,github
PR2/pr2_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_robot,./cloned_repos/PR2_____pr2_robot,github
PR2/pr2_self_test,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_self_test,./cloned_repos/PR2_____pr2_self_test,github
prajankya/AgriMapper,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/prajankya_____AgriMapper,./cloned_repos/prajankya_____AgriMapper,github
projectcosys/cosys-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/projectcosys_____cosys-ros-pkg,./cloned_repos/projectcosys_____cosys-ros-pkg,bitbucket
PX4/px4_ros_com,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PX4_____px4_ros_com,./cloned_repos/PX4_____px4_ros_com,github
RCPRG-ros-pkg/elektron_kinectbot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RCPRG-ros-pkg_____elektron_kinectbot,./cloned_repos/RCPRG-ros-pkg_____elektron_kinectbot,github
